Nodo Origen;Nodo Destino;Distancia;Latitud;Longitud
Pedro de Vega y Av. Almte. Brown;Pedro de Vega y Cngo. Echagüe;100;-31.615827;-60.673232
Juan Castelli y Antonia Godoy;Juan Castelli y Patricio Cullen;100;-31.61109;-60.673011
Juan Castelli y Patricio Cullen;Juan Castelli y Cngo. Echagüe;100;-31.6113;-60.671968
Juan Castelli y Cngo. Echagüe;Juan Castelli y Talcahuano;100;-31.611531;-60.670887
Juan Castelli y Talcahuano;Juan Castelli y Defensa;100;-31.611744;-60.669833
Juan Castelli y Defensa;Juan Castelli y Riobamba;100;-31.611943;-60.668781
Juan Castelli y Riobamba;Juan Castelli y Av. Almte. Brown;100;-31.612066;-60.668331
Hernandarias y Av. Almte. Brown;Hernandarias y Defensa;93;-31.612623;-60.670088
Hernandarias y Defensa;Hernandarias y Talcahuano;100;-31.612431;-60.67115
Hernandarias y Talcahuano;Hernandarias y Cngo. Echagüe;100;-31.612203;-60.672223
Hernandarias y Cngo. Echagüe;Hernandarias y Patricio Cullen;100;-31.611988;-60.673274
Hernandarias y Patricio Cullen;Hernandarias y Antonia Godoy;100;-31.611764;-60.674358
Hernandarias y Antonia Godoy;Hernandarias y Piedras;100;-31.611538;-60.675415
Hernandarias y Piedras;Hernandarias y Tacuarí;100;-31.611305;-60.676493
Hernandarias y Tacuarí;Hernandarias y Velez Sarsfield;100;-31.611066;-60.677552
Hernandarias y Velez Sarsfield;Hernandarias y Av. Gral. Paz;100;-31.61085;-60.678636
Hernandarias y Av. Gral. Paz;J. P. López y Av. Gral. Paz;100;-31.611659;-60.67928
Hernandarias y Av. Gral. Paz;Juan Castelli y Av. Gral. Paz;100;-31.609982;-60.678094
J. P. López y Velez Sarsfield;J. P. López y Tacuarí;100;-31.612207;-60.676735
J. P. López y Tacuarí;J. P. López y Piedras;100;-31.612447;-60.675646
J. P. López y Piedras;J. P. López y Antonia Godoy;100;-31.612664;-60.6746
J. P. López y Antonia Godoy;J. P. López y Patricio Cullen;100;-31.612897;-60.67353
J. P. López y Patricio Cullen;J. P. López y Cngo. Echagüe;100;-31.613137;-60.672473
J. P. López y Cngo. Echagüe;J. P. López y Talcahuano;100;-31.613347;-60.6714
J. P. López y Talcahuano;J. P. López y Defensa;100;-31.613539;-60.670343
J. P. López y Defensa;J. P. López y Av. Almte. Brown;100;-31.613626;-60.670091
J. P. López y Av. Almte. Brown;Hernandarias y Av. Almte. Brown;100;-31.612822;-60.669136
Hernandarias y Av. Almte. Brown;J. P. López y Av. Almte. Brown;100;-31.613635;-60.670091
Riobamba y Av. Almte. Brown;Juan Castelli y Riobamba;74;-31.61195;-60.668784
Juan Castelli y Defensa;Hernandarias y Defensa;100;-31.612639;-60.670088
Hernandarias y Defensa;J. P. López y Defensa;100;-31.613493;-60.670324
Hernandarias y Talcahuano;Juan Castelli y Talcahuano;100;-31.61152;-60.670887
Juan Castelli y Cngo. Echagüe;Hernandarias y Cngo. Echagüe;100;-31.612196;-60.672223
Hernandarias y Cngo. Echagüe;J. P. López y Cngo. Echagüe;100;-31.613133;-60.672453
Hernandarias y Patricio Cullen;Juan Castelli y Patricio Cullen;100;-31.611081;-60.673022
